IST,LTBA,Europe/Athens,Istanbul Turkey,40.9767,28.8211
ITH,KITH,US/Eastern,Ithaca NY,42.4908,-76.4583
JAC,KJAC,US/Mountain,Jackson Hole WY,43.6065,-110.738
JAN,KJAN,US/Central,Jackson MS,32.3111,-90.0758
JAX,KJAX,US/Eastern,Jacksonville FL,30.4941,-81.6879
JED,OEJN,Asia/Kuwait,Jeddah Saudi Arabia,21.6794,39.1564
JFK,KJFK,US/Eastern,New York-Kennedy NY,40.6397,-73.7789
JIB,HFFF,Africa/Nairobi,Djibouti,11.5472,43.1594
JLN,KJLN,US/Central,Joplin MO,37.1517,-94.4981
JNB,FAJS,Africa/Johannesburg,Johannesburg South Africa,-26.1392,28.2456
JNU,PAJN,US/Alaska,Juneau AK,58.3544,-134.576
K11,OTBH,Asia/Kuwait,Al Udeid Air Base Qatar,25.1172,51.315
KBO,EDDK,Europe/Paris,Köln/Bonn Germany,50.8672,7.14361
KBP,UKKK,Europe/Moscow,Kiev Ukraine,50.345,30.895
KEF,BIKF,Etc/Greenwich,Keflavik Iceland,63.985,-22.6056
KIJ,RJSN,Asia/Tokyo,Niigata Japan,37.9558,139.121
KIN,MKJP,US/Eastern,Kingston Jamaica,17.9356,-76.7875
KIX,RJOO,Asia/Tokyo,Osaka Japan,34.4272,135.244
KOA,KKOA,US/Hawaii,Kona HI,19.7386,-156.046
KOJ,RJFK,Asia/Tokyo,Kagoshima Japan,31.8033,130.719
KRK,EPKK,Europe/Paris,Krakow Poland,50.0775,19.7847
KSC,LZKZ,Europe/Paris,Kosice Slovakia,48.6631,21.2411
KUL,WMKK,Asia/Singapore,Kuala Lumpur Malaysia,2.7456,101.71
KWI,OKBK,Asia/Kuwait,Kuwait City Kuwait,29.2264,47.9689
LAD,FNLU,Africa/Harare,Luanda Angola,-8.8583,13.2311
LAF,KLAF,US/Eastern,Lafayette IN,40.4122,-86.9367
LAI,LFRO,Europe/Paris,Lannion France,48.7542,-3.4714
LAN,KLAN,US/Eastern,Lansing MI,42.7787,-84.5874
LAP,MMLP,US/Central,La Paz Mexico,24.0725,-110.362
LAS,KLAS,US/Pacific,Las Vegas NV,36.0804,-115.152
LAX,KLAX,US/Pacific,Los Angeles CA,33.9425,-118.408
LBB,KLBB,US/Central,Lubbock TX,33.6636,-101.823
LBV,FOOL,Africa/Lagos,Libreville Gabon,0.4583,9.4122
LCA,LCLK,Europe/Athens,Larnaca Cyprus,34.875,33.6247
LCH,KLCH,US/Central,Lake Charles LA,30.1261,-93.2233
LCY,EGLC,Etc/Greenwich,London-City United Kingdom,51.5053,0.0553
