"From","To","Days","Dep.","time","Arr.","time","Flightnumber","A/C","Class","stops","via","FlightTime","ServiceType"
"02-Jul","","1234567","ABQ","1445","BIL","1839","DL3799*","CRJ","Y",1,"SLC","3:54","J"
"","07-Jun"," 23    ","ABQ","1445","BIL","1845","DL3876*","CRJ","Y",1,"SLC","4:00","J"
"TO","Boise   (BOI)  (Boise Air Terminal (Gowen Field))"
"08-Jun","01-Jul","123456 ","ABQ","0715","BOI","1058","DL4021*","CRJ","Y",1,"SLC","3:43","J"
"04-Jul","","123456 ","ABQ","0715","BOI","1058","DL4021*","CRJ","Y",1,"SLC","3:43","J"
"TO","Boston   (BOS)  (Logan International Airport)"
"","07-Jun","  3    ","ABQ","0845","BOS","1810","DL482","M88","FY",1,"CVG","7:25","J"
"01-Jul","","1234567","ABQ","1245","BOS","2108","DL339","M88","FY",1,"CVG","6:23","J"
"TO","Cincinnati   (CVG)  (Cincinnati/Northern Kentucky Airport)"
"08-Jun","","1234567","ABQ","0630","CVG","1130","DL756","M88","FY",0,"","3:00","J"
"","07-Jun","  3    ","ABQ","0845","CVG","1342","DL482","M88","FY",0,"","2:57","J"
"","06-Jun"," 2     ","ABQ","0845","CVG","1342","DL1065","M88","FY",0,"","2:57","J"
"10-Jul","","1      ","ABQ","1125","CVG","1908","DL3071*","ERJ","Y",1,"IAH","5:43","J"
"08-Jun","","1234567","ABQ","1245","CVG","1747","DL339","M88","FY",0,"","3:02","J"
"","07-Jun"," 23    ","ABQ","1255","CVG","1756","DL339","M88","FY",0,"","3:01","J"
"TO","Columbus   (CMH)  (Port Columbus International Airport)"
"10-Jun","","     6 ","ABQ","0715","CMH","1430","DL2330*","ERJ","Y",1,"IAH","5:15","J"
"TO","Detroit   (DTT)  (DTW-Wayne County Airport)"
"08-Jun","","1234567","ABQ","0600","DTW","1352","DL934","M88","FY",1,"ATL","5:52","J"
"TO","Eugene   (EUG)  (Eugene Airport)"
"08-Jun","03-Jul","1234567","ABQ","1847","EUG","2201","DL3937*","CRJ","Y",1,"SLC","4:14","J"
"05-Jul","","1234567","ABQ","1847","EUG","2201","DL3937*","CRJ","Y",1,"SLC","4:14","J"
"TO","Hartford   (HFD)  (BDL-Bradley International Airport)"
"29-Jun","30-Jun","   45  ","ABQ","1355","BDL","2222","DL6613*","319","FY",1,"MSP","6:27","J"
"02-Jul","","12345 7","ABQ","1410","BDL","2221","DL6613*","320","FY",1,"MSP","6:11","J"
"08-Jul","","     6 ","ABQ","1410","BDL","2221","DL6613*","319","FY",1,"MSP","6:11","J"
"08-Jun","28-Jun","12345 7","ABQ","1410","BDL","2222","DL6613*","320","FY",1,"MSP","6:12","J"
"10-Jun","24-Jun","     6 ","ABQ","1410","BDL","2222","DL6613*","319","FY",1,"MSP","6:12","J"
"TO","Idaho Falls   (IDA)  (Fanning Field)"
"","07-Jun"," 23    ","ABQ","0710","IDA","1058","DL3822*","CRJ","Y",1,"SLC","3:48","J"
"TO","Jackson   (JAN)  (Jackson-Evers International Airport)"
"08-Jun","30-Jun","12345 7","ABQ","1125","JAN","1720","DL3071*","ERJ","Y",1,"IAH","4:55","J"
"04-Jul",""," 2345 7","ABQ","1125","JAN","1720","DL3071*","ERJ","Y",1,"IAH","4:55","J"
"10-Jun","","     6 ","ABQ","1135","JAN","1720","DL3071*","ERJ","Y",1,"IAH","4:45","J"
"TO","Manchester   (MHT)  (Manchester-Boston Municipal Airport)"
"02-Jul","","1234567","ABQ","0830","MHT","1636","DL6823*","320","FY",1,"MSP","6:06","J"
"TO","New York   (NYC)  (LGA-La Guardia Airport)"
